Specific,General
Art,Art
Audio,Technology
Camera Gear,Photography
Comics,Comics
Dance,Dance & Theater
Dance & Theater,Dance & Theater
Energy & Green Tech,Technology
Fashion,Fashion
Fashion & Wearables,Fashion
Film,Film & Video
Film & Video,Film & Video
Food,Food
Food & Beverages,Food
Games,Games
Music,Music
Phones & Accessories,Technology
Photography,Photography
"Podcasts, Blogs & Vlogs",Publishing
Publishing,Publishing
Tabletop Games,Games
Technology,Technology
Theater,Dance & Theater
Video Games,Games
Web Series & TV Shows,Film & Video
Writing & Publishing,Publishing
Productivity,Technology
Culture,Indiegogo Only
Education,Indiegogo Only
Health & Fitness,Indiegogo Only
Home,Indiegogo Only
Human Rights,Indiegogo Only
Local Businesses,Indiegogo Only
Transportation,Indiegogo Only
Travel & Outdoors,Indiegogo Only
Wellness,Indiegogo Only
Crafts,Kickstarter Only
Design,Kickstarter Only
Journalism,Kickstarter Only
Environment,Indiegogo Only
Animal Rights,Indiegogo Only
Spirituality,Indiegogo Only